Year	Island	Total Deaths	Total Recovered
2020	Jawa	1581140	29758921
2020	Kalimantan	172309	3851918
2020	Maluku	21461	678457
2020	Nusa Tenggara	70749	1589825
2020	Papua	25033	1083683
2020	Sulawesi	148890	4071004
2020	Sumatera	295782	6500334
2021	Jawa	20930513	597099367
2021	Kalimantan	2278168	72864880
2021	Maluku	136073	6059550
2021	Nusa Tenggara	1288145	40357040
2021	Papua	218563	11586218
2021	Sulawesi	1354449	52940394
2021	Sumatera	4565609	124708103
2022	Jawa	26526099	953853549
2022	Kalimantan	2998786	107984630
2022	Maluku	157173	7981385
2022	Nusa Tenggara	1763620	67676519
2022	Papua	244695	18453733
2022	Sulawesi	1724952	73397351
2022	Sumatera	6222298	190520971
