Year	Province	Total Deaths	Total Recovered
2020	Aceh	31871	565662
2020	Bali	33927	1012527
2020	Banten	48732	1169769
2020	Bengkulu	8601	130181
2020	DKI Jakarta	365486	12546318
2020	Daerah Istimewa Yogyakarta	15388	460028
2020	Gorontalo	12339	380751
2020	Jambi	3500	111910
2020	Jawa Barat	121759	4173023
2020	Jawa Tengah	333024	4253548
2020	Jawa Timur	696751	7156235
2020	Kalimantan Barat	2533	206756
2020	Kalimantan Selatan	80701	1483614
2020	Kalimantan Tengah	26411	547215
2020	Kalimantan Timur	60880	1495812
2020	Kalimantan Utara	1784	118521
2020	Kepulauan Bangka Belitung	1544	92435
2020	Kepulauan Riau	14404	384735
2020	Lampung	14132	199801
2020	Maluku	8371	404297
2020	Maluku Utara	13090	274160
2020	Nusa Tenggara Barat	34880	504366
2020	Nusa Tenggara Timur	1942	72932
2020	Papua	17130	685245
2020	Papua Barat	7903	398438
2020	Riau	39628	1393455
2020	Sulawesi Barat	2382	116405
2020	Sulawesi Selatan	79870	2332696
2020	Sulawesi Tengah	6227	110096
2020	Sulawesi Tenggara	11256	483120
2020	Sulawesi Utara	36816	647936
2020	Sumatera Barat	37504	1367366
2020	Sumatera Selatan	65643	900256
2020	Sumatera Utara	78955	1354533
2021	Aceh	388540	7012236
2021	Bali	826825	23615284
2021	Banten	633981	27307122
2021	Bengkulu	103574	4581901
2021	DKI Jakarta	3449722	209621476
2021	Daerah Istimewa Yogyakarta	991331	28481994
2021	Gorontalo	98580	2641763
2021	Jambi	141966	5478345
2021	Jawa Barat	2959255	152159878
2021	Jawa Tengah	6247389	97972757
2021	Jawa Timur	6648835	81556140
2021	Kalimantan Barat	177707	7276216
2021	Kalimantan Selatan	529548	15096050
2021	Kalimantan Tengah	295468	9629723
2021	Kalimantan Timur	1127040	34220766
2021	Kalimantan Utara	148405	6642125
2021	Kepulauan Bangka Belitung	248442	9554320
2021	Kepulauan Riau	329141	10369656
2021	Lampung	727294	9246810
2021	Maluku	64794	3525048
2021	Maluku Utara	71279	2534502
2021	Nusa Tenggara Barat	199412	5636807
2021	Nusa Tenggara Timur	261908	11104949
2021	Papua	133537	6504433
2021	Papua Barat	85026	5081785
2021	Riau	851810	27134251
2021	Sulawesi Barat	71443	2638891
2021	Sulawesi Selatan	512816	27136340
2021	Sulawesi Tengah	289815	8238718
2021	Sulawesi Tenggara	122233	4851741
2021	Sulawesi Utara	259562	7432941
2021	Sumatera Barat	494448	19980958
2021	Sumatera Selatan	670133	12112744
2021	Sumatera Utara	610261	19236882
2022	Aceh	560502	10307316
2022	Bali	1156600	37447204
2022	Banten	743906	66846320
2022	Bengkulu	130882	6930516
2022	DKI Jakarta	3857538	304306302
2022	Daerah Istimewa Yogyakarta	1478101	50637755
2022	Gorontalo	122727	3299037
2022	Jambi	220649	9073766
2022	Jawa Barat	4016236	256542031
2022	Jawa Tengah	8391617	144005744
2022	Jawa Timur	8038701	131515397
2022	Kalimantan Barat	286984	14838131
2022	Kalimantan Selatan	647103	20318930
2022	Kalimantan Tengah	389824	13407955
2022	Kalimantan Timur	1456888	48676665
2022	Kalimantan Utara	217987	10742949
2022	Kepulauan Bangka Belitung	403476	15611664
2022	Kepulauan Riau	475940	16500720
2022	Lampung	1054958	16053301
2022	Maluku	74031	4497492
2022	Maluku Utara	83142	3483893
2022	Nusa Tenggara Barat	227567	8584211
2022	Nusa Tenggara Timur	379453	21645104
2022	Papua	148045	10907731
2022	Papua Barat	96650	7546002
2022	Riau	1121144	36318196
2022	Sulawesi Barat	97860	3669069
2022	Sulawesi Selatan	624241	34155729
2022	Sulawesi Tengah	436665	14258681
2022	Sulawesi Tenggara	143881	6116289
2022	Sulawesi Utara	299578	11898546
2022	Sumatera Barat	592583	25139826
2022	Sumatera Selatan	846351	18598568
2022	Sumatera Utara	815813	35987098
