Date,Province,Total Cases,Total Deaths,Total Recovered,Island
1/3/2020,DKI Jakarta,39,20,75,Jawa
2/3/2020,DKI Jakarta,41,20,75,Jawa
2/3/2020,,2,0,0,
2/3/2020,Riau,1,0,1,Sumatera
3/3/2020,DKI Jakarta,43,20,75,Jawa
3/3/2020,,2,0,0,
3/3/2020,Jawa Barat,1,1,60,Jawa
3/3/2020,Riau,1,0,1,Sumatera
4/3/2020,DKI Jakarta,45,20,75,Jawa
4/3/2020,,2,0,0,
4/3/2020,Jawa Barat,2,1,60,Jawa
4/3/2020,Riau,1,0,1,Sumatera
5/3/2020,DKI Jakarta,45,21,75,Jawa
5/3/2020,,2,0,0,
5/3/2020,Jawa Barat,3,1,60,Jawa
5/3/2020,Riau,1,0,1,Sumatera
6/3/2020,Banten,1,5,111,Jawa
6/3/2020,DKI Jakarta,45,21,75,Jawa
6/3/2020,,4,0,0,
6/3/2020,Jawa Barat,4,1,60,Jawa
6/3/2020,Riau,1,0,1,Sumatera
7/3/2020,Banten,1,5,111,Jawa
7/3/2020,DKI Jakarta,45,23,75,Jawa
7/3/2020,,4,0,0,
7/3/2020,Jawa Barat,4,1,60,Jawa
7/3/2020,Riau,1,0,1,Sumatera
8/3/2020,Banten,2,5,114,Jawa
8/3/2020,DKI Jakarta,45,23,75,Jawa
8/3/2020,,6,0,0,
8/3/2020,Jawa Barat,4,1,60,Jawa
8/3/2020,Jawa Tengah,1,10,11,Jawa
8/3/2020,Riau,1,0,1,Sumatera
9/3/2020,Banten,2,5,114,Jawa
9/3/2020,DKI Jakarta,45,24,75,Jawa
9/3/2020,,19,0,0,
9/3/2020,Jawa Barat,4,1,60,Jawa
9/3/2020,Jawa Tengah,1,10,11,Jawa
9/3/2020,Riau,1,0,1,Sumatera
10/3/2020,Banten,2,5,122,Jawa
10/3/2020,DKI Jakarta,45,24,75,Jawa
10/3/2020,,27,0,2,
10/3/2020,Jawa Barat,4,1,60,Jawa
10/3/2020,Jawa Tengah,1,10,11,Jawa
10/3/2020,Riau,1,0,1,Sumatera
10/3/2020,Sulawesi Tenggara,1,0,0,Sulawesi
11/3/2020,Bali,1,1,3,Nusa Tenggara
11/3/2020,Banten,2,5,130,Jawa
11/3/2020,DKI Jakarta,45,24,75,Jawa
11/3/2020,,34,1,2,
11/3/2020,Jawa Barat,4,2,60,Jawa
11/3/2020,Jawa Tengah,3,11,12,Jawa
11/3/2020,Riau,1,0,1,Sumatera
11/3/2020,Sulawesi Tenggara,1,0,0,Sulawesi
12/3/2020,Bali,1,1,3,Nusa Tenggara
12/3/2020,Banten,2,6,132,Jawa
12/3/2020,DKI Jakarta,47,25,79,Jawa
12/3/2020,,34,1,2,
12/3/2020,Jawa Barat,5,2,60,Jawa
12/3/2020,Jawa Tengah,3,11,12,Jawa
12/3/2020,Riau,1,0,1,Sumatera
12/3/2020,Sulawesi Tenggara,1,0,0,Sulawesi
3/13/2020,Bali,1,1,3,Nusa Tenggara
3/13/2020,Banten,3,7,132,Jawa
3/13/2020,DKI Jakarta,51,26,82,Jawa
3/13/2020,,69,4,2,
3/13/2020,Jawa Barat,9,2,61,Jawa
3/13/2020,Jawa Tengah,3,11,12,Jawa
3/13/2020,Riau,1,0,1,Sumatera
3/13/2020,Sulawesi Tenggara,1,0,0,Sulawesi
3/14/2020,Bali,1,1,3,Nusa Tenggara
3/14/2020,Banten,4,7,134,Jawa
3/14/2020,DKI Jakarta,53,27,83,Jawa
3/14/2020,,96,5,8,
3/14/2020,Jawa Barat,9,2,61,Jawa
3/14/2020,Jawa Tengah,5,11,13,Jawa
3/14/2020,Kalimantan Timur,3,0,3,Kalimantan
3/14/2020,Riau,1,0,1,Sumatera
3/14/2020,Sulawesi Tenggara,1,0,0,Sulawesi
3/15/2020,Bali,1,1,3,Nusa Tenggara
3/15/2020,Banten,5,7,139,Jawa
3/15/2020,DKI Jakarta,61,30,83,Jawa
3/15/2020,,117,5,8,
3/15/2020,Jawa Barat,9,2,63,Jawa
3/15/2020,Jawa Tengah,6,11,14,Jawa
3/15/2020,Kalimantan Timur,5,0,3,Kalimantan
3/15/2020,Riau,1,0,1,Sumatera
3/15/2020,Sulawesi Tenggara,1,0,0,Sulawesi
3/16/2020,Bali,1,1,3,Nusa Tenggara
3/16/2020,Banten,6,7,143,Jawa
3/16/2020,DKI Jakarta,63,33,83,Jawa
3/16/2020,Daerah Istimewa Yogyakarta,1,0,2,Jawa
3/16/2020,,134,5,8,
3/16/2020,Jawa Barat,9,2,65,Jawa
3/16/2020,Jawa Tengah,7,11,14,Jawa
3/16/2020,Kalimantan Timur,6,0,3,Kalimantan
3/16/2020,Riau,1,0,1,Sumatera
3/16/2020,Sulawesi Tenggara,3,0,0,Sulawesi
3/17/2020,Bali,1,1,3,Nusa Tenggara
3/17/2020,Banten,6,8,146,Jawa
3/17/2020,DKI Jakarta,65,34,83,Jawa
3/17/2020,Daerah Istimewa Yogyakarta,1,0,2,Jawa
3/17/2020,,172,5,9,
3/17/2020,Jawa Barat,20,2,65,Jawa
3/17/2020,Jawa Tengah,8,11,15,Jawa
3/17/2020,Kalimantan Timur,7,0,3,Kalimantan
3/17/2020,Riau,1,0,1,Sumatera
3/17/2020,Sulawesi Tenggara,3,0,0,Sulawesi
3/17/2020,Sumatera Utara,1,1,10,Sumatera
3/18/2020,Bali,1,1,3,Nusa Tenggara
3/18/2020,Banten,6,9,147,Jawa
3/18/2020,DKI Jakarta,66,35,83,Jawa
3/18/2020,Daerah Istimewa Yogyakarta,1,0,2,Jawa
3/18/2020,,227,19,11,
3/18/2020,Jawa Barat,24,3,67,Jawa
3/18/2020,Jawa Tengah,11,12,15,Jawa
3/18/2020,Jawa Timur,18,33,337,Jawa
3/18/2020,Kalimantan Timur,7,0,3,Kalimantan
3/18/2020,Riau,1,0,1,Sumatera
3/18/2020,Sulawesi Tenggara,3,0,0,Sulawesi
3/18/2020,Sumatera Utara,1,1,10,Sumatera
3/19/2020,Bali,2,2,3,Nusa Tenggara
3/19/2020,Banten,6,10,150,Jawa
3/19/2020,DKI Jakarta,68,35,84,Jawa
3/19/2020,Daerah Istimewa Yogyakarta,1,0,2,Jawa
3/19/2020,,309,25,15,
3/19/2020,Jawa Barat,29,4,68,Jawa
3/19/2020,Jawa Tengah,13,12,15,Jawa
3/19/2020,Jawa Timur,21,33,337,Jawa
3/19/2020,Kalimantan Timur,7,0,3,Kalimantan
3/19/2020,Kepulauan Riau,1,1,0,Sumatera
3/19/2020,Riau,1,0,1,Sumatera
3/19/2020,Sulawesi Selatan,2,0,5,Sulawesi
3/19/2020,Sulawesi Tenggara,3,0,0,Sulawesi
3/19/2020,Sumatera Utara,1,1,10,Sumatera
3/20/2020,Bali,2,2,3,Nusa Tenggara
3/20/2020,Banten,6,13,153,Jawa
3/20/2020,DKI Jakarta,73,38,85,Jawa
3/20/2020,Daerah Istimewa Yogyakarta,2,0,3,Jawa
3/20/2020,,369,32,17,
3/20/2020,Jambi,1,0,4,Sumatera
3/20/2020,Jawa Barat,45,8,68,Jawa
3/20/2020,Jawa Tengah,17,12,16,Jawa
3/20/2020,Jawa Timur,30,33,337,Jawa
3/20/2020,Kalimantan Timur,7,0,3,Kalimantan
3/20/2020,Kepulauan Riau,1,1,0,Sumatera
3/20/2020,Riau,1,0,1,Sumatera
3/20/2020,Sulawesi Selatan,2,0,5,Sulawesi
3/20/2020,Sulawesi Tenggara,3,0,0,Sulawesi
3/20/2020,Sumatera Utara,1,1,10,Sumatera
3/21/2020,Bali,2,2,3,Nusa Tenggara
3/21/2020,Banten,6,13,155,Jawa
3/21/2020,DKI Jakarta,81,41,91,Jawa
3/21/2020,Daerah Istimewa Yogyakarta,2,0,3,Jawa
3/21/2020,,450,38,20,
3/21/2020,Jambi,1,0,4,Sumatera
3/21/2020,Jawa Barat,50,8,68,Jawa
3/21/2020,Jawa Tengah,18,13,16,Jawa
3/21/2020,Jawa Timur,39,34,337,Jawa
3/21/2020,Kalimantan Timur,7,0,3,Kalimantan
3/21/2020,Kepulauan Riau,1,1,0,Sumatera
3/21/2020,Riau,1,0,1,Sumatera
3/21/2020,Sulawesi Selatan,2,0,5,Sulawesi
3/21/2020,Sulawesi Tenggara,3,0,0,Sulawesi
3/21/2020,Sumatera Utara,1,1,10,Sumatera
3/22/2020,Bali,2,2,3,Nusa Tenggara
3/22/2020,Banten,6,15,155,Jawa
3/22/2020,DKI Jakarta,83,41,94,Jawa
3/22/2020,Daerah Istimewa Yogyakarta,2,0,3,Jawa
3/22/2020,,514,48,29,
3/22/2020,Jambi,1,0,4,Sumatera
3/22/2020,Jawa Barat,53,11,69,Jawa
3/22/2020,Jawa Tengah,19,13,17,Jawa
3/22/2020,Jawa Timur,53,34,337,Jawa
3/22/2020,Kalimantan Timur,7,0,3,Kalimantan
